peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
4.466,0.077,59,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.542,0.076,60,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.616,0.074,61,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.688,0.072,62,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.759,0.071,63,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.042,0.0,0,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.063,-1.0,1,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.074,-1.0,2,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.09,-1.0,3,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.11,-1.0,4,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.135,-1.0,5,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.164,-1.0,6,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.194,0.03,7,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.23,0.036,8,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.271,0.041,9,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.316,0.045,10,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.365,0.049,11,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.418,0.053,12,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.474,0.056,13,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.534,0.06,14,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.597,0.063,15,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.664,0.067,16,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.733,0.069,17,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.806,0.073,18,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.882,0.076,19,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.96,0.079,20,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.042,0.082,21,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.126,0.084,22,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.212,0.086,23,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.3,0.088,24,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.391,0.091,25,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.484,0.093,26,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.579,0.095,27,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.675,0.097,28,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.774,0.098,29,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.874,0.1,30,Macho,1,COBB500 - 2018,1,,-1,Poultry
1.975,0.101,31,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.078,0.103,32,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.182,0.104,33,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.286,0.105,34,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.392,0.106,35,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.499,0.107,36,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.606,0.107,37,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.714,0.108,38,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.822,0.108,39,Macho,1,COBB500 - 2018,1,,-1,Poultry
2.93,0.108,40,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.038,0.108,41,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.147,0.108,42,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.255,0.108,43,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.363,0.108,44,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.47,0.107,45,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.577,0.107,46,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.682,0.106,47,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.787,0.105,48,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.891,0.104,49,Macho,1,COBB500 - 2018,1,,-1,Poultry
3.994,0.103,50,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.095,0.101,51,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.195,0.1,52,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.293,0.098,53,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.389,0.096,54,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.484,0.094,55,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.576,0.092,56,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.666,0.09,57,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.753,0.087,58,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.838,0.085,59,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.92,0.082,60,Macho,1,COBB500 - 2018,1,,-1,Poultry
4.999,0.079,61,Macho,1,COBB500 - 2018,1,,-1,Poultry
5.075,0.076,62,Macho,1,COBB500 - 2018,1,,-1,Poultry
5.148,0.073,63,Macho,1,COBB500 - 2018,1,,-1,Poultry
0.042,0.0,0,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.063,-1.0,1,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.074,-1.0,2,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.089,-1.0,3,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.108,-1.0,4,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.133,-1.0,5,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.162,-1.0,6,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.191,0.029,7,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.227,0.036,8,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.267,0.04,9,Hembra,1,COBB500 - 2018,1,,-1,Poultry
